Run,Fitness1,Solution1,Fitness2,Solution2
24,1991608.4,0050002000530080002300370050009100420037,4454865.5,0051000000760059002800000090009200000027
25,117000.39,0048001400250072002400190049008900320050,1.0386339E7,0051000000770058001300320044015500380065
26,2.5575884E7,0039000800870032002400350049008900390023,6.9080896E7,0054000000750051000200000037013300090000
27,1.13169112E8,0066001000830087002300230049008900330045,4.6579292E7,0047000000750060001800240057014000320051
28,1225244.2,0049000500840046002500270050009100380048,5877993.5,0051000000750053000000120101010500140060
29,2.0619358E7,0040002400690085002500340049009100390042,6.1053856E7,0054001100760060000000000025010400090041
0,3751074.8,0053003500600045000200000076012600270065,4034418.2,0051003200810053000000000077012700310066
1,1.2857052E7,0050000000750042000700030044012500000045,390454.62,0050000000750053000000030044012600230048
2,180761.66,0052001000690024001600040061011600120033,2542239.0,0051001500780049001300040061011700270037
3,3.8803504E7,0055000000590043003200120062009000100013,9730575.0,0051000800820053003700120062009000260018
4,859943.8,0051000000600033001700180030010500380033,1633250.1,0051000400810051001400190029010500340037
5,1237758.2,0052004700590028002000020050009200310035,3194422.5,0051004000820050001900020050009200320039
6,1585351.6,0052000500640021001800220074010400190052,3334656.0,0051001100800048001500230074010500290054
7,3.057559E7,0049001800650021003400120065011000080030,42272.508,0050002000790048004000120065011100250034
8,1.0002189E7,0050000000610028000000110065010000220011,515943.75,0050000700810050000000110065010100290016
9,493390.9,0051003100760081003000250070008800200036,1028403.8,0050002900740041003900260091008600050034
10,5.819092E7,0048000100670060002400090051011300290012,292235.56,0050000900790056002400090051011400320017
11,3.8390116E7,0055003700640040002700020072011900010000,9695526.0,0051003300800052002900010072012000230000
12,754101.5,0051005200750038001700100084013200370073,1702889.5,0051004400750052001400100084013400340074
13,3.5658596E7,0054001700700067002400230032012700380035,9325834.0,0051002000780057002500240031012800340038
14,3.974648E7,0055003900750055002800290062009700040029,9842238.0,0051003500750055003100290062009700240032
15,9.5259576E7,0047003800720053000800260047013200440058,1150788.1,0050003400770055000000270047013400360060
16,6.260844E7,0055004100690053002200120049011300250064,1.2654362E7,0052003600780055002100120049011400300065
17,1.477993E7,0053001800770076002600150053009700410007,6245811.0,0051002000750059002800150053009700350013
18,3.8555628E7,0049004200790032000000110027010500440012,68872.83,0050003700740051000000110026010600360017
19,526176.3,0051000900730067001700240048009300110059,3191956.2,0049000400800054001100250047009300000070
20,537658.25,0051004900600064001300250030012000420068,1768854.8,0051004200810057000800250029012100350069
21,4206777.5,0051002200750055001400220035009600370066,956286.06,0050002300750055001000230034009600340067
22,6989003.5,0050003200800061000500080050009100310000,702799.75,0050003000730056000000080050009100320000
23,5.75987E7,0048002100740079000000240034012600040070,300604.56,0050002300760060000000240034012800240071
24,4454865.5,0051000500680072002600000075009200000028,940706.8,0050001200780058002800000075009100230032
25,1.0386339E7,0050000000590067001600290046013300390061,494515.1,0050000200820057001200300046013500340063
26,6.9080896E7,0048000000790039000800020042011800100000,529964.5,0050000000740052000000020041011900260000
27,4.6579292E7,0055000000780077002000230054012300320049,1.073388E7,0051000000740059001800240054012400320051
28,5877993.5,0050000000780049000000160082010000140056,818837.94,0050000000740054000000160083010000270058
29,6.1053856E7,0048001500730076000000040034010000100040,347834.47,0050001800760059000000040034010000260043
0,4034418.2,0049003500770053000000000092014500270070,1.1044068E8,0055002800510054000600240051008200350044
1,390454.62,0052000000750052000100000041014300000047,3.4280548E7,0047002700750054001000240048008200500048
2,2542239.0,0050000600760048001400000067012900120033,3.3390246E7,0053002700650052001800240050008400430051
3,9730575.0,0047000000770052003600060069008900090010,1.00176288E8,0055002500860054003800230050009100440048
4,1633250.1,0050000000770050001500160018011300380033,4569399.0,0051002700520053001800240047008700300051
5,3194422.5,0050005000770049001900000050009200300036,6.5200788E7,0054002800490052002100240049009000340051
6,3334656.0,0049000000760047001600220089011200190054,7.2160496E7,0054002700570052001900240051008700390047
7,42272.508,0053001500760047003900070074012100070029,1.36613968E8,0045002700590052003300240050008600450052
8,515943.75,0051000000770048000000050074010500210008,2.1194256E7,0048002700520052000200240050008800380056
9,1028403.8,0050003000750061003600270087008500110034,2316275.2,0049002800740027004000240077009000120046
10,292235.56,0053000000760056002400020052012500290009,3.22354848E8,0042002700620055002400240049008500340056
11,9695526.0,0047003800760052002800000085013400000000,5.4164621E8,0061002800570053002600240051008300490061
12,1702889.5,0050005600750051001400040104015500370079,5651377.5,0051002800750053001800240052008000300042
13,9325834.0,0047001400760058002500240021014600380035,5.11187104E8,0060002700660056002400240047008100300051
14,9842238.0,0047004000750055003000320070010000030028,5.5753203E8,0061002800750055002800240050008900470052
15,1150788.1,0054003900760054000200280046015500430061,5.9147232E8,0039002800690055001000240049008000270046
16,1.2654362E7,0046004200760054002100060049012500250068,8.0717216E8,0063002800640055002200240049008500360044
17,6245811.0,0048001500750060002700110055009900410004,2.64431056E8,0057002700780057002600240049008900280057
18,68872.83,0053004400750050000000050013011300440009,1.88175744E8,0044002800800053000400240047008700270056
19,3191956.2,0050000200790058001300250047009300000067,59578.65,0050001300760051001200240048009100090053
20,1768854.8,0050005200770057000900260019013500420073,7490799.0,0051002800510056001500240047008300280043
21,956286.06,0051002000750055001100220026009800370070,1699241.9,0049002800750055001600240048008900300044
22,702799.75,0051003200750057000000000050009200310000,9365317.0,0049002800830056000800240049009100330061
23,300604.56,0053001900750061000000250025014600030075,3.1804544E8,0042002800730057000000240048008100470043
24,940706.8,0051000000760059002800000090009200000027,2119709.8,0049002700640057002600240051009100500053
25,494515.1,0051000000770058001300320044015500380065,2.282922E7,0048002700500056001700240049008000300045
26,529964.5,0054000000750051000200000037013300090000,3.99365056E8,0041002600810053001100240048008400440061
27,1.073388E7,0047000000750060001800240057014000320051,6.327975E8,0061002700790057002000240049008200330048
28,818837.94,0051000000750053000000120101010500140060,5651291.5,0049002600800054000400240052008800420046
29,347834.47,0054001100760060000000000025010400090041,3.4255392E8,0042002700720057000100240048008900440050
0,1.1044068E8,0051003200810053000000000077012700310066,1.58418336E8,0056002200370054002300470027004300270026
1,3.4280548E7,0050000000750053000000030044012600230048,7.0361376E7,0046005200750054002200420052004500550050
2,3.3390246E7,0051001500780049001300040061011700270037,4.253032E7,0053003600590054001800420039005700420065
3,1.00176288E8,0051000800820053003700120062009000260018,5.2814388E7,0053002700820054002100280038009100350073
4,4569399.0,0051000400810051001400190029010500340037,3439567.2,0051004500380054001800280064007200160065
5,6.5200788E7,0051004000820050001900020050009200320039,8.9609256E7,0054001500340054001700440048008900240062
6,7.2160496E7,0051001100800048001500230074010500290054,1.00085472E8,0055003900460054001800240028007200350042
7,1.36613968E8,0050002000790048004000120065011100250034,2.51776144E8,0043003200490054001200340036006400460069
8,2.1194256E7,0050000700810050000000110065010100290016,4.7593576E7,0047003600260051003000380036007900320089
9,2316275.2,0050002900740041003900260091008600050034,35672.184,0050002600760027002100240050009100170057
10,3.22354848E8,0050000900790056002400090051011400320017,5.7121274E8,0039004100550053001600370047006100250091
11,5.4164621E8,0051003300800052002900010072012000230000,8.3809139E8,0063002100460054001500440030005300530114
12,5651377.5,0051004400750052001400100084013400340074,4686446.5,0051001200750054001800360021003500180016
13,5.11187104E8,0051002000780057002500240031012800340038,7.895257E8,0063003200620053001600230062004200170063
14,5.5753203E8,0051003500750055003100290062009700240032,8.6341542E8,0063002000760053001400180038008300500071
15,5.9147232E8,0050003400770055000000270047013400360060,1.02788512E9,0035002000670053002100210050003500110035
16,8.0717216E8,0052003600780055002100120049011400300065,1.26275584E9,0066001800590053001600340048006100290027
17,2.64431056E8,0051002000750059002800150053009700350013,3.98440192E8,0059003100800053001500310045008300130096
18,1.88175744E8,0050003700740051000000110026010600360017,4.02791104E8,0041002300860052002900390066007300130088
19,59578.65,0049000400800054001100250047009300000070,3578259.2,0051002000730048001400230049008900240038
20,7490799.0,0051004200810057000800250029012100350069,6887648.0,0051001400370053001900220064005200120022
21,1699241.9,0050002300750055001000230034009600340067,4517918.0,0049002900760053002100240060008500190026
22,9365317.0,0050003000730056000000080050009100320000,2.179775E7,0048002600920054002600420048009000240111
23,3.1804544E8,0050002300760060000000240034012800240071,6.7689747E8,0038002900700055003100220060004600470021
24,2119709.8,0050001200780058002800000075009100230032,5514326.5,0049003400510055001400520028009000510070
25,2.282922E7,0050000200820057001200300046013500340063,4.9119784E7,0047004700350053001800180051003400160031
26,3.99365056E8,0050000000740052000000020041011900260000,7.0236806E8,0038005600860054002100440054005400450117
27,6.327975E8,0051000000740059001800240054012400320051,9.8358522E8,0064005300820053001700230044004800220046
28,5651291.5,0050000000740054000000160083010000270058,1.3529293E7,0048004500850053002800330022008000380037
29,3.4255392E8,0050001800760059000000040034010000260043,7.285465E8,0038003100690055003000470060008000420056
