,Indicator,Metaheuristic,Function,DRoC Type A,DRoC Type B,ERT Diversity,Critical Diversity,FRoC Type A,FRoC Type B,ERT Fitness,Critical Fitness,SRoC Type A,SRoC Type B,ERT Separation,Critical Separation,MRoC Type A,MRoC Type B,ERT Mobility,Critical Mobility,ntotal*,nshared*,Mean ID,Mean GC,SNID,EXPLORE%,INFEASIBLE%
1810,ntotal*,GBestPSO,Rosenbrock,0.3819074089975907,-0.3313731307575125,0.3070775268898649,0.27037490592712493,-0.0068278790706012464,-0.22402321801279232,-0.08876226768724294,0.22588676671037888,0.1943003696562787,-0.06563990314354688,0.3510335197427683,-0.012468912872766523,-0.060245488821315814,-0.4061596175354386,0.02583196043014286,0.3799062908533362,1.0,0.5430634237853849,0.11424057621095046,-0.11424057621095099,-0.11066467909927724,0.6235209835523899,-0.2098836327273465
1811,nshared*,GBestPSO,Rosenbrock,-0.08050679787500045,-0.3800514389918481,0.054426997487200396,0.3929703621933448,0.3006012771458411,-0.26523218612964616,0.35994659604691165,0.26422839719450053,-0.04991412486934352,0.07644900856058724,0.14666171126753075,0.06338912733193583,0.06920006831585925,-0.10248702966939477,0.26282824618771417,0.1201306905323965,0.5430634237853849,1.0,-0.16931376889700803,0.16931376889700755,0.005538661880516547,0.3050185858689545,-0.08000738073039322
1812,Mean ID,GBestPSO,Rosenbrock,0.010797035775829607,-0.03692538681495351,-0.12145126831210393,0.055233569187038915,-0.27519447034505473,-0.14374561328054639,-0.2854811242149271,0.1451901896176324,0.16442059055022717,-0.0938812047024839,0.1648653921255231,0.1584467008713533,0.012238658926254907,-0.10390038123896041,-0.09373401447794115,0.17682089804135626,0.11424057621095046,-0.16931376889700803,1.0,-1.0000000000000002,-0.29291496970704045,0.02664105204399888,0.1784812787678766
1813,Mean GC,GBestPSO,Rosenbrock,-0.010797035775829605,0.03692538681495583,0.12145126831210304,-0.0552335691870411,0.2751944703450532,0.1437456132805459,0.2854811242149266,-0.14519018961763183,-0.16442059055022726,0.09388120470248314,-0.164865392125524,-0.15844670087135387,-0.012238658926254153,0.10390038123896117,0.0937340144779432,-0.17682089804135692,-0.11424057621095099,0.16931376889700755,-1.0000000000000002,1.0,0.29291496970704056,-0.026641052044001367,-0.17848127876787445
1814,SNID,GBestPSO,Rosenbrock,-0.06207430899497323,0.2758756894916823,-0.03422534057974126,-0.30259045179599836,-0.1907735678698061,-0.2558063425178453,-0.18088885043723646,0.25734753318138415,0.08912250683623033,-0.15377860527371146,-0.27947228140869845,-0.01410925946434109,0.09311428336704948,0.04948478252861328,0.1334255789110353,-0.13289662502811722,-0.11066467909927724,0.005538661880516547,-0.29291496970704045,0.29291496970704056,1.0,-0.07143197194893217,-0.15560560939367266
1815,EXPLORE%,GBestPSO,Rosenbrock,0.6931669614539616,-0.11967154425771256,0.7815387194573248,0.06652890310669143,-0.18612472360288318,-0.14900600600035044,-0.23865626205000876,0.15070662486976605,0.12092453659127705,-0.012898107772345478,0.1972503693426781,0.0023805765622661916,0.01424068587612403,-0.41557607609508457,-0.12485447673316422,0.37172285692389484,0.6235209835523899,0.3050185858689545,0.02664105204399888,-0.026641052044001367,-0.07143197194893217,1.0,-0.3203905125771621
1816,INFEASIBLE%,GBestPSO,Rosenbrock,-0.08498327234205295,0.18296131581201866,-0.2452509369344128,-0.12804627181150843,-0.049212211463361064,0.15147724028519782,-0.10513748414924164,-0.15161524991556305,-0.0053244154896725905,-0.035865469952257055,-0.11312719015481398,-0.027305490951395103,-0.3551943378525575,0.004061700774680126,-0.13984634259534973,0.056434344611885165,-0.2098836327273465,-0.08000738073039322,0.1784812787678766,-0.17848127876787445,-0.15560560939367266,-0.3203905125771621,1.0
1817,DRoC Type A,GreedyPSO,Rosenbrock,1.0,0.33470397760002724,0.7310897482363122,-0.3555899514364449,-0.16874448813664303,-0.1780943808925576,-0.13024217331022117,0.17608652283783108,0.14002431650055755,-0.01103918654414811,0.16180344767752824,0.14922577090747635,-0.07940042942702275,-0.08452130108884133,0.2756225790799665,0.11441461228404434,0.4674100462059474,0.16704299891091934,-0.20135904365691373,0.20135904365691562,0.19608184619710237,0.31436563877407664,0.04879023230647316
1818,DRoC Type B,GreedyPSO,Rosenbrock,0.33470397760002724,1.0,0.29328417597525686,-0.9992859200524901,-0.08594723190276216,-0.05430836319653966,-0.18311733595972599,0.05758025409615782,-0.1516232245185993,-0.23349666147218928,-0.10864668506776243,-0.05120213830783333,-0.2877989730508326,-0.3764353223109511,-0.258281321324555,0.33091627712785593,-0.013898466496829086,-0.2626722344878423,-0.08871681944074931,0.08871681944075058,0.13161795435947282,-0.07355068499400155,0.05280600190087821
1819,ERT Diversity,GreedyPSO,Rosenbrock,0.7310897482363122,0.29328417597525686,1.0,-0.32000137233145015,0.21939155436830388,0.0753832901441248,0.21924762751217608,-0.07873978520653233,0.2327600522407369,-0.21622444898066875,0.3236197850823711,0.0024036488989256236,-0.397049956812858,-0.30656880430104166,0.18991966708211094,0.3598649963827545,0.7883838380058457,-0.04841259507536469,-0.0987425584423982,0.09874255844239807,0.13549978103463445,0.8047081086392976,-0.036497195280313824
